"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\local\travel-link\travel-link\src\review\dto\create-review-for-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\review\review.controller.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\local\travel-link\travel-link\src\review\review.model.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 2, 11, 39
"c:\Users\local\travel-link\travel-link\src\review\review.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\local\travel-link\travel-link\src\review\review.service.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 1, 24, 130
"c:\Users\local\travel-link\travel-link\src\route-point\route-point.model.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 1, 8, 31
"c:\Users\local\travel-link\travel-link\src\route-point\route-point.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\route\dto\create-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\route\dto\get-point-of-interest.dto.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\local\travel-link\travel-link\src\route\dto\upgrade-points.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\route\dto\upgrade-route.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\route\route.controller.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 13, 62
"c:\Users\local\travel-link\travel-link\src\route\route.model.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 2, 18, 57
"c:\Users\local\travel-link\travel-link\src\route\route.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\local\travel-link\travel-link\src\route\route.service.ts", "TypeScript", 0, 242, 0, 0, 0, 0, 9, 43, 294
"c:\Users\local\travel-link\travel-link\src\search & filter\search.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\local\travel-link\travel-link\src\search & filter\search.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\local\travel-link\travel-link\src\search & filter\search.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\local\travel-link\travel-link\src\tag-point\tag-point.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 7, 28
"c:\Users\local\travel-link\travel-link\src\tag-point\tag-point.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\tag-route\tag-route.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 7, 28
"c:\Users\local\travel-link\travel-link\src\tag-route\tag-route.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\local\travel-link\travel-link\src\tag\tag.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\local\travel-link\travel-link\src\tag\tag.model.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 2, 9, 26
"c:\Users\local\travel-link\travel-link\src\tag\tag.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\local\travel-link\travel-link\src\tag\tag.service.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\local\travel-link\travel-link\src\user\dto\create-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\local\travel-link\travel-link\src\user\dto\login-user.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\local\travel-link\travel-link\src\user\user.controller.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\local\travel-link\travel-link\src\user\user.model.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 2, 16, 52
"c:\Users\local\travel-link\travel-link\src\user\user.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\local\travel-link\travel-link\src\user\user.service.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 10, 34
"c:\Users\local\travel-link\travel-link\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\local\travel-link\travel-link\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 1, 26
"Total", "-", 10699, 1775, 50, 323, 136, 33, 301, 748, 14065
